"ID.grid","Habitat Area (Ha)","X.cor","Y.cor","TECI(%)","Cumulative Habitat(%)"
405,0.03,538532.58,9735200.93,0,0.03
406,0.03,548532.58,9735200.93,0,0.06
165,0.09,438532.58,9785200.93,1.92,0.15
213,0.1,458532.58,9775200.93,7.18,0.25
354,0.04,488532.58,9745200.93,7.22,0.29
398,0.03,468532.58,9735200.93,8.62,0.32
725,0,518532.58,9665200.93,9.38,0.32
212,0.08,448532.58,9775200.93,12.37,0.39
211,0.08,438532.58,9775200.93,13.11,0.47
118,0.03,428532.58,9795200.93,16.41,0.49
546,0.01,568532.58,9705200.93,18.75,0.5
260,0.04,468532.58,9765200.93,20.7,0.54
258,0.04,448532.58,9765200.93,24.38,0.59
214,0.05,468532.58,9775200.93,24.41,0.63
119,0.09,438532.58,9795200.93,26.17,0.73
164,0.05,428532.58,9785200.93,28.42,0.78
444,0.02,468532.58,9725200.93,29.38,0.8
307,0.04,478532.58,9755200.93,30.13,0.84
259,0.06,458532.58,9765200.93,34.51,0.91
166,0.09,448532.58,9785200.93,35.03,1
73,0.06,438532.58,9805200.93,35.94,1.06
490,0.01,468532.58,9715200.93,39.15,1.07
403,0.01,518532.58,9735200.93,44.1,1.08
116,0,408532.58,9795200.93,44.72,1.08
355,0,498532.58,9745200.93,45.34,1.08
452,0,548532.58,9725200.93,45.96,1.08
634,0,528532.58,9685200.93,46.58,1.08
673,0,458532.58,9675200.93,47.2,1.08
676,0,488532.58,9675200.93,47.82,1.08
678,0,508532.58,9675200.93,48.45,1.08
717,0,438532.58,9665200.93,49.07,1.08
721,0,478532.58,9665200.93,49.69,1.08
769,0,498532.58,9655200.93,50.31,1.08
772,0,528532.58,9655200.93,50.93,1.08
918,0,608532.58,9625200.93,51.55,1.08
1043,0,478532.58,9595200.93,52.17,1.08
587,0,518532.58,9695200.93,52.79,1.08
680,0,528532.58,9675200.93,53.41,1.08
962,0,588532.58,9615200.93,54.04,1.08
449,0,518532.58,9725200.93,54.66,1.08
495,0,518532.58,9715200.93,55.28,1.08
1009,0,598532.58,9605200.93,55.9,1.08
1140,0,528532.58,9575200.93,56.52,1.08
71,0,418532.58,9805200.93,57.14,1.08
734,0,608532.58,9665200.93,57.76,1.08
496,0,528532.58,9715200.93,58.38,1.08
628,0,468532.58,9685200.93,59,1.08
674,0,468532.58,9675200.93,59.63,1.08
679,0,518532.58,9675200.93,60.25,1.08
873,0,618532.58,9635200.93,60.87,1.08
768,0,488532.58,9655200.93,61.49,1.08
963,0,598532.58,9615200.93,62.11,1.08
27,0,438532.58,9815200.93,62.73,1.08
675,0,478532.58,9675200.93,63.35,1.08
26,0,428532.58,9815200.93,63.97,1.08
689,0,618532.58,9675200.93,64.59,1.08
781,0,618532.58,9655200.93,65.22,1.08
724,0,508532.58,9665200.93,65.84,1.08
770,0,508532.58,9655200.93,66.46,1.08
1008,0,588532.58,9605200.93,67.08,1.08
771,0,518532.58,9655200.93,67.7,1.08
686,0,588532.58,9675200.93,68.32,1.08
687,0,598532.58,9675200.93,68.94,1.08
447,0,498532.58,9725200.93,69.56,1.08
117,0,418532.58,9795200.93,70.19,1.08
916,0,588532.58,9625200.93,70.81,1.08
827,0,618532.58,9645200.93,71.43,1.08
489,0,458532.58,9715200.93,72.05,1.08
872,0,608532.58,9635200.93,72.67,1.08
640,0,588532.58,9685200.93,73.29,1.08
168,0,468532.58,9785200.93,73.91,1.08
262,0,488532.58,9765200.93,74.53,1.08
443,0,458532.58,9725200.93,75.15,1.09
163,0,418532.58,9785200.93,75.78,1.09
28,0,448532.58,9815200.93,76.4,1.09
917,0,598532.58,9625200.93,77.02,1.09
401,0,498532.58,9735200.93,77.64,1.09
121,0,458532.58,9795200.93,78.26,1.09
261,0,478532.58,9765200.93,78.88,1.09
351,0,458532.58,9745200.93,79.5,1.09
735,0,618532.58,9665200.93,80.12,1.1
688,0,608532.58,9675200.93,80.74,1.1
547,0,578532.58,9705200.93,81.37,1.1
306,0,468532.58,9755200.93,81.99,1.1
400,0,488532.58,9735200.93,82.61,1.11
257,0,438532.58,9765200.93,83.23,1.11
396,0,448532.58,9735200.93,83.85,1.11
442,0,448532.58,9725200.93,84.47,1.12
448,0,508532.58,9725200.93,85.09,1.12
303,0,438532.58,9755200.93,85.71,1.12
453,0,558532.58,9725200.93,86.33,1.13
357,0,518532.58,9745200.93,86.96,1.13
72,0,428532.58,9805200.93,87.58,1.14
358,0.01,528532.58,9745200.93,88.2,1.14
548,0.01,588532.58,9705200.93,88.82,1.15
399,0.01,478532.58,9735200.93,89.44,1.15
594,0.01,588532.58,9695200.93,90.06,1.16
210,0.01,428532.58,9775200.93,90.68,1.16
304,0.01,448532.58,9755200.93,91.3,1.17
404,0.01,528532.58,9735200.93,91.93,1.18
500,0.01,568532.58,9715200.93,92.55,1.2
308,0.02,488532.58,9755200.93,93.17,1.21
353,0.02,478532.58,9745200.93,93.79,1.23
120,0.02,448532.58,9795200.93,94.41,1.25
408,0.02,568532.58,9735200.93,95.03,1.28
352,0.03,468532.58,9745200.93,95.65,1.3
74,0.03,448532.58,9805200.93,96.27,1.34
454,0.03,568532.58,9725200.93,96.89,1.37
397,0.04,458532.58,9735200.93,97.52,1.41
167,0.04,458532.58,9785200.93,98.14,1.45
407,0.05,558532.58,9735200.93,98.76,1.5
402,0.05,508532.58,9735200.93,99.38,1.55
402,100,508532.58,9735200.93,100,1.55
