"ID.grid","Habitat Area (Ha)","X.cor","Y.cor","TECI(%)","Cumulative Habitat(%)"
71,0.03,418532.58,9805200.93,22.92,0.03
863,0,518532.58,9635200.93,25.62,0.03
820,0.01,548532.58,9645200.93,27.05,0.03
772,0,528532.58,9655200.93,29.69,0.03
546,0,568532.58,9705200.93,32.95,0.04
117,0.01,418532.58,9795200.93,35.62,0.05
728,0.02,548532.58,9665200.93,38.79,0.07
400,0,488532.58,9735200.93,42.41,0.07
402,0.01,508532.58,9735200.93,48.65,0.08
253,0,398532.58,9765200.93,53.91,0.08
302,0,428532.58,9755200.93,54.5,0.08
306,0,468532.58,9755200.93,55.1,0.08
932,0,288532.58,9615200.93,55.7,0.08
933,0,298532.58,9615200.93,56.3,0.08
958,0,548532.58,9615200.93,56.9,0.08
983,0,338532.58,9605200.93,57.5,0.08
1008,0,588532.58,9605200.93,58.1,0.08
1090,0,488532.58,9585200.93,58.7,0.08
1444,0,348532.58,9505200.93,59.29,0.08
1490,0,348532.58,9495200.93,59.89,0.08
717,0,438532.58,9665200.93,60.49,0.08
846,0,348532.58,9635200.93,61.09,0.08
865,0,538532.58,9635200.93,61.69,0.08
907,0,498532.58,9625200.93,62.29,0.08
954,0,508532.58,9615200.93,62.89,0.08
955,0,518532.58,9615200.93,63.48,0.08
1261,0,358532.58,9545200.93,64.08,0.08
1307,0,358532.58,9535200.93,64.68,0.08
713,0,398532.58,9665200.93,65.28,0.08
446,0,488532.58,9725200.93,65.88,0.08
773,0,538532.58,9655200.93,66.48,0.08
72,0,428532.58,9805200.93,67.08,0.08
116,0,408532.58,9795200.93,67.67,0.08
791,0,258532.58,9645200.93,68.27,0.08
997,0,478532.58,9605200.93,68.87,0.08
398,0,468532.58,9735200.93,69.47,0.08
490,0,468532.58,9715200.93,70.07,0.08
580,0,448532.58,9695200.93,70.67,0.08
1007,0,578532.58,9605200.93,71.27,0.08
534,0,448532.58,9705200.93,71.86,0.08
864,0,528532.58,9635200.93,72.46,0.08
444,0,468532.58,9725200.93,73.06,0.08
164,0,428532.58,9785200.93,73.66,0.08
726,0,528532.58,9665200.93,74.26,0.08
354,0,488532.58,9745200.93,74.86,0.08
545,0,558532.58,9705200.93,75.46,0.08
636,0,548532.58,9685200.93,76.06,0.08
590,0,548532.58,9695200.93,76.65,0.08
909,0,518532.58,9625200.93,77.25,0.08
69,0,398532.58,9805200.93,77.85,0.08
303,0,438532.58,9755200.93,78.45,0.08
665,0,378532.58,9675200.93,79.05,0.08
666,0,388532.58,9675200.93,79.65,0.08
452,0,548532.58,9725200.93,80.25,0.08
399,0,478532.58,9735200.93,80.84,0.08
258,0,448532.58,9765200.93,81.44,0.08
408,0,568532.58,9735200.93,82.04,0.08
163,0,418532.58,9785200.93,82.64,0.08
404,0,528532.58,9735200.93,83.24,0.08
682,0,548532.58,9675200.93,83.84,0.08
27,0,438532.58,9815200.93,84.44,0.08
397,0,458532.58,9735200.93,85.03,0.08
727,0,538532.58,9665200.93,85.63,0.08
394,0,428532.58,9735200.93,86.23,0.08
440,0,428532.58,9725200.93,86.83,0.09
406,0,548532.58,9735200.93,87.43,0.09
454,0,568532.58,9725200.93,88.03,0.09
407,0,558532.58,9735200.93,88.63,0.09
357,0,518532.58,9745200.93,89.22,0.09
500,0,568532.58,9715200.93,89.82,0.09
26,0,428532.58,9815200.93,90.42,0.09
351,0,458532.58,9745200.93,91.02,0.09
908,0,508532.58,9625200.93,91.62,0.1
547,0,578532.58,9705200.93,92.22,0.1
24,0,408532.58,9815200.93,92.82,0.1
118,0,428532.58,9795200.93,93.42,0.1
688,0,608532.58,9675200.93,94.01,0.11
635,0,538532.58,9685200.93,94.61,0.11
866,0,548532.58,9635200.93,95.21,0.12
405,0,538532.58,9735200.93,95.81,0.12
774,0,548532.58,9655200.93,96.41,0.12
70,0.01,408532.58,9805200.93,97.01,0.13
453,0.01,558532.58,9725200.93,97.61,0.14
681,0.01,538532.58,9675200.93,98.2,0.15
403,0.02,518532.58,9735200.93,98.8,0.17
25,0.04,418532.58,9815200.93,99.4,0.21
25,100,418532.58,9815200.93,100,0.21
