"ID.grid","Habitat Area (Ha)","X.cor","Y.cor","TECI(%)","Cumulative Habitat(%)"
553,0.07,178532.58,9695200.93,0,0.07
555,0.09,198532.58,9695200.93,0,0.16
600,0.12,188532.58,9685200.93,0,0.27
601,0.11,198532.58,9685200.93,0,0.39
602,0.11,208532.58,9685200.93,0,0.5
603,0.1,218532.58,9685200.93,0,0.6
647,0.12,198532.58,9675200.93,0,0.72
648,0.12,208532.58,9675200.93,0,0.83
649,0.11,218532.58,9675200.93,0,0.94
650,0.07,228532.58,9675200.93,0,1.01
693,0.08,198532.58,9665200.93,0,1.09
694,0.09,208532.58,9665200.93,0,1.18
695,0.11,218532.58,9665200.93,0,1.29
696,0.11,228532.58,9665200.93,0,1.41
742,0.11,228532.58,9655200.93,0,1.52
743,0.09,238532.58,9655200.93,0,1.61
788,0.11,228532.58,9645200.93,0,1.73
835,0.1,238532.58,9635200.93,0,1.83
1208,0.07,288532.58,9555200.93,0,1.91
1349,0.07,318532.58,9525200.93,0,1.98
1350,0.09,328532.58,9525200.93,0,2.07
1352,0.09,348532.58,9525200.93,1.12,2.17
1207,0.05,278532.58,9555200.93,1.62,2.22
554,0.11,188532.58,9695200.93,2.4,2.33
604,0.07,228532.58,9685200.93,3.12,2.4
1397,0.09,338532.58,9515200.93,4.15,2.48
1303,0.06,318532.58,9535200.93,5.1,2.55
1168,0.03,348532.58,9565200.93,5.49,2.58
1117,0.06,298532.58,9575200.93,5.86,2.64
1308,0.03,368532.58,9535200.93,7.74,2.67
1302,0.08,308532.58,9535200.93,8.13,2.75
1118,0.06,308532.58,9575200.93,8.83,2.81
1301,0.07,298532.58,9535200.93,9.22,2.88
697,0.08,238532.58,9665200.93,10.94,2.96
1119,0.03,318532.58,9575200.93,12.02,2.99
1587,0.01,398532.58,9475200.93,12.22,3
1355,0.02,378532.58,9525200.93,13.34,3.02
1633,0.01,398532.58,9465200.93,13.91,3.03
1300,0.01,288532.58,9535200.93,16.41,3.04
