ID,Ver3,Cstock
1,Hutan primer,204.51
2,Hutan sekunder kerapatan tinggi,105.6
3,Hutan sekunder kerapatan rendah,52.14
4,Hutan rawa primer,193.2
5,Hutan rawa sekunder,141.3
6,Hutan bakau primer,99.17
7,Hutan bakau sekunder,57.5
8,Tanaman kayu industri,57.9
9,Kebun campuran,37.93
10,Agroforestri kopi,20.9
11,Agroforestri karet,75.17
12,Karet,40.5
13,Kelapa sawit skala besar,39.52
14,kelapa sawit skala kecil,39.52
15,Kelapa,41.96
16,Teh,16.25
17,Sawah irigasi,1
18,Sawah tadah hujan,1
19,Tebu,3.7
20,Tanaman semusim lain,0.8
21,Semak belukar,22.11
22,Padang rumput,1.5
23,Tambang,0
24,Lahan terbuka,0
25,Pemukiman,0.47
26,Tambak,0
27,Tubuh air,0
