Rumah tangga,Pemerintah,PMTB,Perubahan Stok,Ekspor,Permintaan akhir,Permintaan,Impor,Margin perdagangan,Output,Penyediaan
0,0,0,172.6216012,2685838.795,2686011.417,14581820.1,0,0,14581820.1,14581820.1
334198.2827,0,0,0,457365.082,791563.3647,1039231.423,0,0,1039231.424,1039231.424
0,0,0,480.2647765,2833810.483,2834290.748,3236063.303,0,0,3236063.302,3236063.302
0,0,0,12536.85143,4318.35,16855.20143,9300956.313,0,0,9300956.312,9300956.312
0,0,0,66.24570994,5908.454657,5974.700367,4625221.186,0,0,4625221.186,4625221.186
300268.918,0,297.6416856,0.697492734,5056140.091,5356707.348,5828697.684,0,0,5828697.68,5828697.68
3220715.098,0,348589.9496,71832,0,3641137.047,5219515.486,0,0,5219515.489,5219515.489
0,0,0,0,5071784.023,5071784.023,6908146.928,0,0,6908146.931,6908146.931
13440704.03,0,0,0,70063.8108,13510767.84,14062548.95,0,0,14062548.95,14062548.95
0,0,0,0,26528028.96,26528028.96,36197840.22,0,0,36197840.22,36197840.22
0,0,0,0,22024932.84,22024932.84,22559415.94,0,0,22559415.94,22559415.94
0,0,0,10.23734703,128098.36,128108.5973,21073799.22,0,0,21073799.22,21073799.22
11456476.59,0,0,0,0,11456476.59,11598351.7,0,0,11598351.7,11598351.7
270537.1632,0,0,0,32365135.38,32635672.54,48100334.85,0,0,48100334.85,48100334.85
1389018.084,0,0,8817.230832,0,1397835.315,3742925.315,0,0,3742925.315,3742925.315
268.9179624,0,297.6416856,0.697492734,430.6607997,997.9179404,146018.869,0,0,146018.8694,146018.8694
526767.6057,0,0,0,114360.528,641128.1337,1171823.805,0,0,1171823.804,1171823.804
268.9179624,0,297.6416856,0.697492734,18769642.99,18770210.25,18856799.05,0,0,18856799.05,18856799.05
4507451.001,0,0,0,255683.198,4763134.199,9590790.324,0,0,9590790.32,9590790.32
300268.918,0,297.6416856,0.697492734,5765313.47,6065880.727,10786111.56,0,0,10786111.56,10786111.56
414999.997,0,0,0,8554.42,423554.417,1819012.503,0,0,1819012.499,1819012.499
0,0,803196.53,0,0,803196.53,811676.8166,0,0,811676.8127,811676.8127
0,0,0,0,0,0,163563.5999,0,0,163563.6025,163563.6025
0,0,0,0,18573985.96,18573985.96,24287390.4,0,0,24287390.4,24287390.4
97264.37,0,0,682.86,0,97947.23,433111.5755,0,0,433111.572,433111.572
289675.0439,0,0,0,0,289675.0439,1054683.044,0,0,1054683.04,1054683.04
1755234.16,0,59847224.81,0,0,61602458.97,65410195.56,0,0,65410195.56,65410195.56
28646976.52,0,14489683.56,0,289564.7325,43426224.81,51518647.08,0,0,51518647.08,51518647.08
2122930.129,0,0,0,10819.95889,2133750.088,5469027.769,0,0,5469027.765,5469027.765
2691546.898,0,55115.18602,0,21307.39293,2767969.477,5513825.02,0,0,5513825.021,5513825.021
587754.116,0,500.5382505,0,71.26989668,588325.9242,967802.8067,0,0,967802.804,967802.804
1931187.201,0,0,0,0,1931187.201,2452826.326,0,0,2452826.324,2452826.324
970355.8026,0,0,0,0,970355.8026,1038979.652,0,0,1038979.652,1038979.652
7820863.857,0,0,0,461.449452,7821325.306,10715060.81,0,0,10715060.8,10715060.8
9435951.808,0,0,0,0,9435951.808,11314197.13,0,0,11314197.14,11314197.14
7617004.058,0,0,0,0,7617004.058,12770065.41,0,0,12770065.41,12770065.41
0,20234214.14,0,0,0,20234214.14,20234214.14,0,0,20234214.14,20234214.14
5965532.92,3343939.59,0,0,0,9309472.51,10742660.29,0,0,10742660.29,10742660.29
1798089.002,0,0,0,0,1798089.002,2646750.743,0,0,2646750.739,2646750.739
1299882.02,389653.79,0,0,0,1689535.81,3085024.626,0,0,3085024.625,3085024.625
0,0,0,0,0,0,0,0,0,0,0
109192191.4,23967807.52,75545501.14,94601.10167,141041620.7,349841721.8,481075127.5,0,0,481075127.5,481075127.5
116255444.6,2547385.48,51175304.86,0,0,169978134.9,184266564.3,184266564.3,0,0,184266564.3
