,Nama Sektor,Padi,Tanaman Bahan Makanan lainnya,Kopi,Karet,Kelapa Sawit,Tanaman Perkebunan lainnya,Peternakan dan Hasil-hasilnya,Kehutanan,Perikanan,Pertambangan Migas,Pertambangan Non Migas,Penggalian,Industri Penggilingan Padi,Industri Minyak Hewani dan Nabati,Industri Makanan dan Minuman lainnya,Industri Tekstil dan Pakain Jadi,"Industri Kayu,barang-barang dari kayu dan Furniture",Industri Karet dan barang-barang dari karet,Industri Kimia dan barang-barang dr kimia,Industri Bubur Kertas (Pulp) dan barang2 dari kertas,Industri Barang Galian Bukan Logam,"Industri Barang dari logam, bukan mesin dan perlatan",Industri Kendaraan bermotor dan alat angkutan,Industri Migas,Industri barang-barang lainnya,"Listrik,  Gas dan Air bersih",Bangunan,Perdagangan,Hotel dan Restoran,Angkutan jalan raya,"Angkutan sungai, danau dan penyeberangan",Angkutan udara,Jasa penunjang angkutan,Komunikasi,Bank dan lembaga keuangan lainnya,Real Estate dan Jasa Perusahaan,Pemerintahan umum,Jasa Pendidikan,Jasa Kesehatan dan Kegiatan Sosial,Jasa-jasa lainnya,Kegiatan yang tak jelas batasannya,180
1,Padi,1440294.431,0,0,0,0,0,55784.7585,0,0,0,0,0,10373109.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26619.63687,0,0,0,0,0,0,0,0,0,0,0,0,0,11895808.68
2,Tanaman Bahan Makanan lainnya,0,93462.97807,0,0,0,0,9031.862342,0,0,0,0,0,11355.11252,0,127367.0113,0,0,0,0,0,0,0,0,0,0,0,0,5974.243431,476.8502482,0,0,0,0,0,0,0,0,0,0,0,0,247668.0579
3,Kopi,0,0,401772.5552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401772.5552
4,Karet,0,0,0,1350522.458,0,0,0,0,0,0,0,0,0,0,0,0,0,7918978.068,0,0,0,0,0,0,0,0,0,14600.58517,0,0,0,0,0,0,0,0,0,0,0,0,0,9284101.111
5,Kelapa Sawit,0,0,0,0,148131.3854,0,0,0,0,0,0,0,0,4468547.381,0,0,0,0,0,0,0,0,0,0,0,0,0,2567.718928,0,0,0,0,0,0,0,0,0,0,0,0,0,4619246.485
6,Tanaman Perkebunan lainnya,0,0,0,0,0,433219.645,25482.72939,0,0,14.46783253,10.5134469,101.6083171,1.475646929,0,1706.162457,0,10.54826623,107.3486025,44.60445102,7708.222314,134.6229769,0,0,37.49877121,268.4371177,10.78193097,108.526209,140.3680433,112.1907635,67.8834884,249.2472415,258.7258269,103.7364161,302.3492786,1487.942133,167.1310429,133.5694133,0,0,0,0,471990.3364
7,Peternakan dan Hasil-hasilnya,77881.57676,0,1226.661492,0,13750.83287,17389.57607,11818.48054,0,0,0,0,0,36048.12252,0,87754.55082,0,0,864161.1049,359067.8479,0,0,0,0,0,2236.975981,0,0,107042.7089,0,0,0,0,0,0,0,0,0,0,0,0,0,1578378.439
8,Kehutanan,46807.68796,0,2913.141343,0,117.7205637,148.8717605,0,105739.2094,0,0,0,0,0,0,0,0,495506.5077,0,0,518586.7391,0,0,0,0,2212.120693,0,664330.9066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1836362.905
9,Perikanan,0,0,0,0,0,0,0,0,464112.7703,0,0,0,0,0,83720.99499,0,0,0,0,0,0,0,0,0,1048.893182,0,0,2898.449323,0,0,0,0,0,0,0,0,0,0,0,0,0,551781.1078
10,Pertambangan Migas,0,0,0,0,0,0,0,0,0,1632505.94,73537.74166,0,0,0,0,0,0,0,0,0,0,0,0,7962502.269,0,0,0,1265.316031,0,0,0,0,0,0,0,0,0,0,0,0,0,9669811.267
11,Pertambangan Non Migas,0,0,0,0,0,0,0,0,0,0,484889.484,0,0,0,0,0,0,0,0,0,0,0,0,49593.61134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534483.0954
12,Penggalian,0,0,0,0,0,0,0,0,0,0,22980.54427,473127.7163,0,0,0,0,0,0,0,0,8838.533278,0,0,0,0,0,20439133.06,1610.766744,0,0,0,0,0,0,0,0,0,0,0,0,0,20945690.62
13,Industri Penggilingan Padi,0,0,0,0,0,0,5857.485121,0,0,0,0,0,0,0,87688.81466,0,0,0,0,0,0,0,0,0,0,0,0,17672.36545,30656.43797,0,0,0,0,0,0,0,0,0,0,0,0,141875.1032
14,Industri Minyak Hewani dan Nabati,0,0,0,0,0,0,8951.939335,0,0,0,0,0,0,15454916.81,793.5639335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15464662.31
15,Industri Makanan dan Minuman lainnya,0,103.4613354,692.7112962,41497.5176,7480.356946,913.5639934,123810.054,1056.990404,145073.5156,112100.3449,88450.28681,0,27653.86346,12184.08195,114943.9717,43.62885613,257.2225947,0,0,0,0,0,0,28520.71776,8520.728295,4981.323742,5151.271773,187305.5776,100830.7552,6792.177472,42.83794334,3920.063193,973.3733507,124220.9556,179822.9355,150221.9233,170322.8594,258445.6004,141608.2754,297147.0526,0,2345090
16,Industri Tekstil dan Pakain Jadi,0,415.7605786,744.4694543,936.8441393,468.2227621,1361.884727,25143.23561,3044.061893,0,14.46783253,10.5134469,101.6083171,1.475646929,21760.8333,3.592274003,37460.29494,10.54826623,107.3486025,44.60445102,7708.222314,134.6229769,249.507943,50.28173912,37.49877121,1590.738476,10.78193097,108.526209,25507.11413,112.1907635,67.8834884,249.2472415,258.7258269,103.7364161,302.3492786,1487.942133,167.1310429,133.5694133,411.1629673,851.9557131,13847.99605,0,145020.9511
17,"Industri Kayu,barang-barang dari kayu dan Furniture",0,103.9401446,0,749.4753114,0,0,1988.069792,0,0,52991.25589,34608.10808,79429.29782,0,1632.062497,0,81.81743053,66142.57811,0,0,160213.967,420.4470785,2453.769893,494.4925446,2479.680567,0,1077.697206,116230.107,4496.872354,0,0,19.19348931,0,0,0,0,2874.731251,2123.870481,0,84.23781216,0,0,530695.6718
18,Industri Karet dan barang-barang dari karet,0,0,0,0,0,0,0,0,0,14.46783253,10.5134469,101.6083171,1.475646929,22848.87496,3.592274003,1.461025545,10.54826623,40686.24802,44.60445102,7708.222314,134.6229769,60.07039104,12.10560151,37.49877121,0,10.78193097,108.526209,140.3680433,112.1907635,67.8834884,249.2472415,258.7258269,103.7364161,302.3492786,1487.942133,167.1310429,133.5694133,411.1629673,11241.28588,117.9851228,0,86588.80006
19,Industri Kimia dan barang-barang dr kimia,1617579.206,79628.54482,271679.5861,791305.1248,181941.3674,82221.04573,12279.2546,0,4495.597154,85860.78404,2298.054427,0,5549.816835,11968.45831,13510.32035,63.26240611,5429.481031,139475.7713,624321.0618,304222.3887,788.5769678,2470.196292,497.8028515,2479.680567,0,7194.068211,3435.595225,1655.350593,801.302835,71910.96016,119.9956299,246.1378047,135.6822739,0,0,0,132.7820971,223458.4415,201760.115,76740.31085,0,4827656.124
20,Industri Bubur Kertas (Pulp) dan barang2 dari kertas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.461025545,10.54826623,107.3486025,9655.350453,3827361.78,134.6229769,60.07039104,12.10560151,37.49877121,447.3951962,10.78193097,108.526209,140.3680433,112.1907635,67.8834884,249.2472415,258.7258269,103.7364161,302.3492786,1487.942133,167.1310429,133.5694133,723301.6303,1684.852019,154273.7206,0,4720230.836
21,Industri Barang Galian Bukan Logam,1458.183426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.305127726,0,0,0,0,133450.5419,59547.23644,12000.17351,0,0,0,1147891.675,0,0,0,0,0,0,0,0,39143.88972,1959.080848,0,0,0,0,1395458.086
22,"Industri Barang dari logam, bukan mesin dan perlatan",0,103.9401446,0,712.0015458,0,0,0,0,4322.689571,0,0,0,0,0,0,4.383076636,0,0,0,0,0,2777.533644,559.7385814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8480.286564
23,Industri Kendaraan bermotor dan alat angkutan,4680.768796,20.78802893,0,0,21943.54633,36258.26264,0,22013.07637,4322.689571,0,0,0,0,5984.229156,0,78.89537944,0,48202.00288,0,0,0,2605.459672,525.061615,0,16928.81947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163563.5999
24,Industri Migas,291.6366851,0,0,65100.3187,31457.82929,6911.183689,58.47264094,0,0,413131.8054,252785.9869,0,0,241001.2287,198.3909834,65.74614953,0,0,1095687.219,0,0,3490.179623,703.3535652,523460.5677,2202.178577,341276.9777,27808.53316,0,0,1068360.822,172884.2416,791460.2249,0,0,0,0,19800.35111,393100.804,149553.2068,112613.1827,0,5713404.441
