"ID.grid","Habitat Area (Ha)","X.cor","Y.cor","TECI(%)","Cumulative Habitat(%)"
165,0.09,438532.58,9785200.93,0,0.09
354,0.04,488532.58,9745200.93,0,0.14
405,0.03,538532.58,9735200.93,0,0.16
406,0.03,548532.58,9735200.93,0,0.2
211,0.08,438532.58,9775200.93,1.37,0.27
118,0.03,428532.58,9795200.93,3.91,0.3
260,0.04,468532.58,9765200.93,6.85,0.34
398,0.03,468532.58,9735200.93,7.76,0.38
213,0.1,458532.58,9775200.93,8.33,0.47
725,0,518532.58,9665200.93,9.38,0.47
212,0.08,448532.58,9775200.93,12.37,0.55
164,0.05,428532.58,9785200.93,16.62,0.6
214,0.05,468532.58,9775200.93,17.09,0.65
546,0.01,568532.58,9705200.93,17.6,0.66
119,0.09,438532.58,9795200.93,23.57,0.76
258,0.04,448532.58,9765200.93,24.38,0.8
444,0.03,468532.58,9725200.93,27.41,0.83
307,0.05,478532.58,9755200.93,29.73,0.88
490,0.01,468532.58,9715200.93,32.19,0.89
259,0.06,458532.58,9765200.93,34.51,0.95
166,0.09,448532.58,9785200.93,35.03,1.04
73,0.06,438532.58,9805200.93,36.58,1.1
403,0.01,518532.58,9735200.93,41.41,1.11
116,0,408532.58,9795200.93,42.04,1.11
355,0,498532.58,9745200.93,42.67,1.11
452,0,548532.58,9725200.93,43.3,1.11
634,0,528532.58,9685200.93,43.93,1.11
673,0,458532.58,9675200.93,44.56,1.11
676,0,488532.58,9675200.93,45.19,1.11
678,0,508532.58,9675200.93,45.82,1.11
717,0,438532.58,9665200.93,46.45,1.11
721,0,478532.58,9665200.93,47.08,1.11
769,0,498532.58,9655200.93,47.71,1.11
772,0,528532.58,9655200.93,48.34,1.11
918,0,608532.58,9625200.93,48.97,1.11
958,0,548532.58,9615200.93,49.6,1.11
1003,0,538532.58,9605200.93,50.23,1.11
1043,0,478532.58,9595200.93,50.86,1.11
587,0,518532.58,9695200.93,51.49,1.11
962,0,588532.58,9615200.93,52.12,1.11
449,0,518532.58,9725200.93,52.75,1.11
495,0,518532.58,9715200.93,53.38,1.11
680,0,528532.58,9675200.93,54.01,1.11
1009,0,598532.58,9605200.93,54.64,1.11
1140,0,528532.58,9575200.93,55.27,1.11
71,0,418532.58,9805200.93,55.9,1.11
734,0,608532.58,9665200.93,56.53,1.11
496,0,528532.58,9715200.93,57.16,1.11
628,0,468532.58,9685200.93,57.79,1.12
674,0,468532.58,9675200.93,58.42,1.12
679,0,518532.58,9675200.93,59.05,1.12
588,0,528532.58,9695200.93,59.68,1.12
873,0,618532.58,9635200.93,60.31,1.12
768,0,488532.58,9655200.93,60.94,1.12
963,0,598532.58,9615200.93,61.57,1.12
27,0,438532.58,9815200.93,62.2,1.12
675,0,478532.58,9675200.93,62.83,1.12
26,0,428532.58,9815200.93,63.46,1.12
781,0,618532.58,9655200.93,64.09,1.12
689,0,618532.58,9675200.93,64.72,1.12
724,0,508532.58,9665200.93,65.35,1.12
770,0,508532.58,9655200.93,65.98,1.12
1008,0,588532.58,9605200.93,66.61,1.12
687,0,598532.58,9675200.93,67.24,1.12
771,0,518532.58,9655200.93,67.87,1.12
447,0,498532.58,9725200.93,68.5,1.12
686,0,588532.58,9675200.93,69.13,1.12
117,0,418532.58,9795200.93,69.76,1.12
916,0,588532.58,9625200.93,70.39,1.12
827,0,618532.58,9645200.93,71.02,1.12
872,0,608532.58,9635200.93,71.65,1.12
489,0,458532.58,9715200.93,72.28,1.12
640,0,588532.58,9685200.93,72.91,1.12
168,0,468532.58,9785200.93,73.54,1.12
262,0,488532.58,9765200.93,74.17,1.12
443,0,458532.58,9725200.93,74.8,1.12
28,0,448532.58,9815200.93,75.43,1.12
917,0,598532.58,9625200.93,76.06,1.12
163,0,418532.58,9785200.93,76.69,1.13
401,0,498532.58,9735200.93,77.32,1.13
121,0,458532.58,9795200.93,77.95,1.13
735,0,618532.58,9665200.93,78.58,1.13
261,0,478532.58,9765200.93,79.21,1.13
688,0,608532.58,9675200.93,79.84,1.13
547,0,578532.58,9705200.93,80.47,1.14
351,0,458532.58,9745200.93,81.1,1.14
306,0,468532.58,9755200.93,81.73,1.14
400,0,488532.58,9735200.93,82.36,1.14
257,0,438532.58,9765200.93,82.99,1.15
448,0,508532.58,9725200.93,83.62,1.15
303,0,438532.58,9755200.93,84.25,1.16
453,0,558532.58,9725200.93,84.88,1.16
357,0,518532.58,9745200.93,85.51,1.16
396,0,448532.58,9735200.93,86.14,1.17
442,0,448532.58,9725200.93,86.77,1.17
72,0,428532.58,9805200.93,87.4,1.18
358,0.01,528532.58,9745200.93,88.03,1.18
548,0.01,588532.58,9705200.93,88.66,1.19
399,0.01,478532.58,9735200.93,89.29,1.19
594,0.01,588532.58,9695200.93,89.92,1.2
210,0.01,428532.58,9775200.93,90.55,1.21
304,0.01,448532.58,9755200.93,91.18,1.21
404,0.01,528532.58,9735200.93,91.81,1.22
500,0.01,568532.58,9715200.93,92.44,1.24
308,0.02,488532.58,9755200.93,93.07,1.26
120,0.02,448532.58,9795200.93,93.7,1.28
408,0.02,568532.58,9735200.93,94.33,1.3
353,0.03,478532.58,9745200.93,94.96,1.33
352,0.03,468532.58,9745200.93,95.59,1.36
74,0.03,448532.58,9805200.93,96.22,1.39
454,0.03,568532.58,9725200.93,96.85,1.43
167,0.04,458532.58,9785200.93,97.48,1.47
397,0.04,458532.58,9735200.93,98.11,1.51
407,0.05,558532.58,9735200.93,98.74,1.56
402,0.05,508532.58,9735200.93,99.37,1.61
402,100,508532.58,9735200.93,100,1.61
