"ID.grid","Habitat Area (Ha)","X.cor","Y.cor","TECI(%)","Cumulative Habitat(%)"
545,0.01,558532.58,9705200.93,6.77,0.01
863,0.03,518532.58,9635200.93,8.04,0.04
402,0.01,508532.58,9735200.93,8.16,0.05
953,0.01,498532.58,9615200.93,8.48,0.06
820,0.01,548532.58,9645200.93,9.57,0.07
728,0.03,548532.58,9665200.93,11.46,0.1
71,0.07,418532.58,9805200.93,11.54,0.17
207,0.01,398532.58,9775200.93,12.19,0.18
113,0.01,378532.58,9795200.93,12.5,0.18
772,0,528532.58,9655200.93,12.5,0.18
909,0.02,518532.58,9625200.93,13.01,0.2
114,0.01,388532.58,9795200.93,13.99,0.22
866,0.01,548532.58,9635200.93,18.4,0.22
400,0.01,488532.58,9735200.93,20.31,0.23
729,0,558532.58,9665200.93,20.31,0.23
115,0.02,398532.58,9795200.93,20.54,0.24
546,0.01,568532.58,9705200.93,22.25,0.25
118,0.05,428532.58,9795200.93,23.29,0.3
161,0.02,398532.58,9785200.93,23.44,0.32
580,0,448532.58,9695200.93,25.14,0.32
117,0.06,418532.58,9795200.93,29.89,0.38
69,0.01,398532.58,9805200.93,30.42,0.39
253,0,398532.58,9765200.93,30.61,0.39
591,0.01,558532.58,9695200.93,40.43,0.4
72,0,428532.58,9805200.93,40.62,0.4
932,0,288532.58,9615200.93,45.7,0.4
26,0,428532.58,9815200.93,46.09,0.41
933,0,298532.58,9615200.93,48.05,0.41
70,0.02,408532.58,9805200.93,49.74,0.43
862,0.01,508532.58,9635200.93,57.03,0.43
110,0,348532.58,9795200.93,57.27,0.43
111,0,358532.58,9795200.93,57.51,0.43
112,0,368532.58,9795200.93,57.76,0.43
291,0,318532.58,9755200.93,58,0.43
377,0,258532.58,9735200.93,58.24,0.43
384,0,328532.58,9735200.93,58.48,0.43
396,0,448532.58,9735200.93,58.72,0.43
468,0,248532.58,9715200.93,58.96,0.43
488,0,448532.58,9715200.93,59.2,0.43
492,0,488532.58,9715200.93,59.45,0.43
493,0,498532.58,9715200.93,59.69,0.43
532,0,428532.58,9705200.93,59.93,0.43
578,0,428532.58,9695200.93,60.17,0.43
579,0,438532.58,9695200.93,60.41,0.43
582,0,468532.58,9695200.93,60.65,0.43
628,0,468532.58,9685200.93,60.89,0.43
757,0,378532.58,9655200.93,61.14,0.43
800,0,348532.58,9645200.93,61.38,0.43
804,0,388532.58,9645200.93,61.62,0.43
805,0,398532.58,9645200.93,61.86,0.43
838,0,268532.58,9635200.93,62.1,0.43
938,0,348532.58,9615200.93,62.34,0.43
950,0,468532.58,9615200.93,62.58,0.43
957,0,538532.58,9615200.93,62.82,0.43
958,0,548532.58,9615200.93,63.07,0.43
991,0,418532.58,9605200.93,63.31,0.43
1005,0,558532.58,9605200.93,63.55,0.43
1006,0,568532.58,9605200.93,63.79,0.43
1008,0,588532.58,9605200.93,64.03,0.43
1090,0,488532.58,9585200.93,64.27,0.43
1444,0,348532.58,9505200.93,64.51,0.43
210,0,428532.58,9775200.93,64.76,0.43
211,0,438532.58,9775200.93,65,0.43
260,0,468532.58,9765200.93,65.24,0.43
380,0,288532.58,9735200.93,65.48,0.43
486,0,428532.58,9715200.93,65.72,0.43
512,0,228532.58,9705200.93,65.96,0.43
557,0,218532.58,9695200.93,66.2,0.43
714,0,408532.58,9665200.93,66.45,0.43
716,0,428532.58,9665200.93,66.69,0.43
717,0,438532.58,9665200.93,66.93,0.43
758,0,388532.58,9655200.93,67.17,0.43
912,0,548532.58,9625200.93,67.41,0.43
980,0,308532.58,9605200.93,67.65,0.43
989,0,398532.58,9605200.93,67.89,0.43
1040,0,448532.58,9595200.93,68.14,0.43
1261,0,358532.58,9545200.93,68.38,0.43
1307,0,358532.58,9535200.93,68.62,0.43
289,0,298532.58,9755200.93,68.86,0.43
333,0,278532.58,9745200.93,69.1,0.43
338,0,328532.58,9745200.93,69.34,0.43
530,0,408532.58,9705200.93,69.58,0.43
533,0,438532.58,9705200.93,69.83,0.43
746,0,268532.58,9655200.93,70.07,0.43
802,0,368532.58,9645200.93,70.31,0.43
886,0,288532.58,9625200.93,70.55,0.43
954,0,508532.58,9615200.93,70.79,0.43
201,0,338532.58,9775200.93,71.03,0.43
558,0,228532.58,9695200.93,71.27,0.43
674,0,468532.58,9675200.93,71.52,0.43
1490,0,348532.58,9495200.93,71.76,0.43
28,0,448532.58,9815200.93,72,0.43
257,0,438532.58,9765200.93,72.24,0.43
531,0,418532.58,9705200.93,72.48,0.43
683,0,558532.58,9675200.93,72.72,0.43
711,0,378532.58,9665200.93,72.96,0.43
982,0,328532.58,9605200.93,73.2,0.43
489,0,458532.58,9715200.93,73.45,0.43
839,0,278532.58,9635200.93,73.69,0.43
1007,0,578532.58,9605200.93,73.93,0.43
247,0,338532.58,9765200.93,74.17,0.44
334,0,288532.58,9745200.93,74.41,0.44
684,0,568532.58,9675200.93,74.65,0.44
713,0,398532.58,9665200.93,74.89,0.44
756,0,368532.58,9655200.93,75.14,0.44
763,0,438532.58,9655200.93,75.38,0.44
867,0,558532.58,9635200.93,75.62,0.44
936,0,328532.58,9615200.93,75.86,0.44
244,0,308532.58,9765200.93,76.1,0.44
306,0,468532.58,9755200.93,76.34,0.44
490,0,468532.58,9715200.93,76.58,0.44
627,0,458532.58,9685200.93,76.83,0.44
673,0,458532.58,9675200.93,77.07,0.44
981,0,318532.58,9605200.93,77.31,0.44
398,0,468532.58,9735200.93,77.55,0.44
446,0,488532.58,9725200.93,77.79,0.44
675,0,478532.58,9675200.93,78.03,0.44
801,0,358532.58,9645200.93,78.27,0.44
337,0,318532.58,9745200.93,78.52,0.44
849,0,378532.58,9635200.93,78.76,0.44
904,0,468532.58,9625200.93,79,0.44
934,0,308532.58,9615200.93,79.24,0.44
74,0,448532.58,9805200.93,79.48,0.44
302,0,428532.58,9755200.93,79.72,0.44
745,0,258532.58,9655200.93,79.96,0.44
937,0,338532.58,9615200.93,80.21,0.44
165,0,438532.58,9785200.93,80.45,0.44
636,0,548532.58,9685200.93,80.69,0.44
726,0,528532.58,9665200.93,80.93,0.44
304,0,448532.58,9755200.93,81.17,0.44
