"ID.grid","Habitat Area (Ha)","X.cor","Y.cor","TECI(%)","Cumulative Habitat(%)"
553,0.07,178532.58,9695200.93,0,0.07
554,0.11,188532.58,9695200.93,0,0.18
555,0.09,198532.58,9695200.93,0,0.27
600,0.12,188532.58,9685200.93,0,0.39
601,0.12,198532.58,9685200.93,0,0.5
602,0.11,208532.58,9685200.93,0,0.62
603,0.11,218532.58,9685200.93,0,0.73
604,0.07,228532.58,9685200.93,0,0.8
647,0.12,198532.58,9675200.93,0,0.91
648,0.12,208532.58,9675200.93,0,1.03
649,0.11,218532.58,9675200.93,0,1.14
650,0.07,228532.58,9675200.93,0,1.21
693,0.08,198532.58,9665200.93,0,1.29
694,0.09,208532.58,9665200.93,0,1.38
695,0.11,218532.58,9665200.93,0,1.49
696,0.11,228532.58,9665200.93,0,1.61
697,0.08,238532.58,9665200.93,0,1.69
742,0.12,228532.58,9655200.93,0,1.8
743,0.09,238532.58,9655200.93,0,1.9
788,0.12,228532.58,9645200.93,0,2.01
835,0.1,238532.58,9635200.93,0,2.11
1117,0.08,298532.58,9575200.93,0,2.19
1207,0.06,278532.58,9555200.93,0,2.25
1208,0.08,288532.58,9555200.93,0,2.33
1349,0.07,318532.58,9525200.93,0,2.4
1350,0.1,328532.58,9525200.93,0,2.5
1352,0.1,348532.58,9525200.93,0,2.6
1397,0.1,338532.58,9515200.93,0,2.7
1118,0.08,308532.58,9575200.93,1.56,2.77
1306,0.06,348532.58,9535200.93,3.71,2.83
1168,0.04,348532.58,9565200.93,4.12,2.87
1301,0.07,298532.58,9535200.93,5,2.94
1303,0.07,318532.58,9535200.93,5.1,3.01
1302,0.08,308532.58,9535200.93,5.82,3.09
1587,0.02,398532.58,9475200.93,8.69,3.11
1355,0.03,378532.58,9525200.93,8.72,3.14
1308,0.04,368532.58,9535200.93,10.88,3.18
1119,0.04,318532.58,9575200.93,13.74,3.23
1300,0.01,288532.58,9535200.93,14.2,3.24
1633,0.02,398532.58,9465200.93,19.56,3.26
1214,0.04,348532.58,9555200.93,20.14,3.29
1161,0.02,278532.58,9565200.93,23.44,3.31
1586,0.01,388532.58,9475200.93,25,3.32
1259,0.05,338532.58,9545200.93,29.15,3.37
1260,0.01,348532.58,9545200.93,29.38,3.38
1492,0.01,368532.58,9495200.93,34.38,3.39
789,0.08,238532.58,9645200.93,34.93,3.47
1491,0.01,358532.58,9495200.93,37.5,3.48
1448,0.01,388532.58,9505200.93,40.91,3.49
1257,0.01,318532.58,9545200.93,45.83,3.5
1634,0.01,408532.58,9465200.93,48.37,3.51
1536,0,348532.58,9485200.93,48.84,3.51
940,0,368532.58,9615200.93,49.31,3.51
1166,0,328532.58,9565200.93,49.78,3.51
1167,0,338532.58,9565200.93,50.25,3.51
652,0,248532.58,9675200.93,50.72,3.51
1205,0,258532.58,9555200.93,51.19,3.51
513,0,238532.58,9705200.93,51.66,3.51
1065,0,238532.58,9585200.93,52.12,3.51
1347,0,298532.58,9525200.93,52.59,3.51
1069,0,278532.58,9585200.93,53.06,3.51
1114,0,268532.58,9575200.93,53.53,3.51
937,0,338532.58,9615200.93,54,3.51
1631,0,378532.58,9465200.93,54.47,3.51
1401,0,378532.58,9515200.93,54.94,3.51
1265,0,398532.58,9545200.93,55.41,3.51
1346,0,288532.58,9525200.93,55.88,3.51
1310,0,388532.58,9535200.93,56.35,3.51
1590,0,428532.58,9475200.93,56.82,3.52
1215,0,358532.58,9555200.93,57.29,3.52
1447,0,378532.58,9505200.93,57.76,3.52
1493,0,378532.58,9495200.93,58.23,3.52
1635,0,418532.58,9465200.93,58.7,3.52
1356,0,388532.58,9525200.93,59.17,3.52
881,0,238532.58,9625200.93,59.63,3.52
1261,0,358532.58,9545200.93,60.1,3.52
1169,0,358532.58,9565200.93,60.57,3.52
1024,0,288532.58,9595200.93,61.04,3.52
1264,0,388532.58,9545200.93,61.51,3.52
1632,0,388532.58,9465200.93,61.98,3.53
1158,0,248532.58,9565200.93,62.45,3.53
1445,0,358532.58,9505200.93,62.92,3.53
1112,0,248532.58,9575200.93,63.39,3.53
1111,0,238532.58,9575200.93,63.86,3.53
1254,0,288532.58,9545200.93,64.33,3.53
1159,0,258532.58,9565200.93,64.8,3.53
983,0,338532.58,9605200.93,65.27,3.54
1299,0,278532.58,9535200.93,65.74,3.54
1354,0,368532.58,9525200.93,66.21,3.54
1163,0,298532.58,9565200.93,66.67,3.54
833,0,218532.58,9635200.93,67.14,3.54
1120,0,328532.58,9575200.93,67.61,3.55
1255,0,298532.58,9545200.93,68.08,3.55
1162,0,288532.58,9565200.93,68.55,3.55
511,0,218532.58,9705200.93,69.02,3.55
1584,0,368532.58,9475200.93,69.49,3.56
1071,0,298532.58,9585200.93,69.96,3.56
1213,0,338532.58,9555200.93,70.43,3.56
1253,0,278532.58,9545200.93,70.9,3.57
1636,0,428532.58,9465200.93,71.37,3.57
692,0,188532.58,9665200.93,71.84,3.57
1443,0,338532.58,9505200.93,72.31,3.58
1630,0,368532.58,9465200.93,72.78,3.58
1488,0.01,328532.58,9495200.93,73.25,3.59
1538,0.01,368532.58,9485200.93,73.72,3.59
651,0.01,238532.58,9675200.93,74.18,3.6
1537,0.01,358532.58,9485200.93,74.65,3.61
1541,0.01,398532.58,9485200.93,75.12,3.61
1588,0.01,408532.58,9475200.93,75.59,3.62
977,0.01,278532.58,9605200.93,76.06,3.62
1399,0.01,358532.58,9515200.93,76.53,3.63
1540,0.01,388532.58,9485200.93,77,3.64
1490,0.01,348532.58,9495200.93,77.47,3.65
1252,0.01,268532.58,9545200.93,77.94,3.65
1402,0.01,388532.58,9515200.93,78.41,3.66
1116,0.01,288532.58,9575200.93,78.88,3.67
1070,0.01,288532.58,9585200.93,79.35,3.68
1256,0.01,308532.58,9545200.93,79.82,3.69
512,0.01,228532.58,9705200.93,80.29,3.7
557,0.01,218532.58,9695200.93,80.76,3.71
1583,0.01,358532.58,9475200.93,81.23,3.72
1353,0.01,358532.58,9525200.93,81.69,3.73
1348,0.01,308532.58,9525200.93,82.16,3.74
1206,0.01,268532.58,9555200.93,82.63,3.75
1209,0.01,298532.58,9555200.93,83.1,3.77
1165,0.01,318532.58,9565200.93,83.57,3.78
1441,0.01,318532.58,9505200.93,84.04,3.79
508,0.01,188532.58,9705200.93,84.51,3.81
1585,0.01,378532.58,9475200.93,84.98,3.82
1539,0.01,378532.58,9485200.93,85.45,3.84
1395,0.01,318532.58,9515200.93,85.92,3.85
744,0.02,248532.58,9655200.93,86.39,3.87
1164,0.02,308532.58,9565200.93,86.86,3.88
1307,0.02,358532.58,9535200.93,87.33,3.9
1442,0.02,328532.58,9505200.93,87.8,3.91
1305,0.02,338532.58,9535200.93,88.27,3.93
1022,0.02,268532.58,9595200.93,88.74,3.94
975,0.02,258532.58,9605200.93,89.2,3.96
558,0.02,228532.58,9695200.93,89.67,3.98
510,0.02,208532.58,9705200.93,90.14,4
698,0.02,248532.58,9665200.93,90.61,4.02
1160,0.02,268532.58,9565200.93,91.08,4.04
790,0.02,248532.58,9645200.93,91.55,4.06
1444,0.02,348532.58,9505200.93,92.02,4.08
836,0.02,248532.58,9635200.93,92.49,4.1
787,0.02,218532.58,9645200.93,92.96,4.12
1258,0.02,328532.58,9545200.93,93.43,4.15
976,0.03,268532.58,9605200.93,93.9,4.17
1489,0.03,338532.58,9495200.93,94.37,4.2
556,0.03,208532.58,9695200.93,94.84,4.23
741,0.04,218532.58,9655200.93,95.31,4.27
599,0.04,178532.58,9685200.93,95.78,4.31
646,0.05,188532.58,9675200.93,96.25,4.36
1309,0.05,378532.58,9535200.93,96.71,4.41
509,0.05,198532.58,9705200.93,97.18,4.46
1351,0.05,338532.58,9525200.93,97.65,4.51
1398,0.06,348532.58,9515200.93,98.12,4.57
1304,0.06,328532.58,9535200.93,98.59,4.63
1396,0.06,328532.58,9515200.93,99.06,4.7
834,0.06,228532.58,9635200.93,99.53,4.76
834,100,228532.58,9635200.93,100,4.76
