source,target,width
Transmigrasi,Kebutuhan pangan meningkat,1
Transmigrasi,Program swasembada pangan,1
Program swasembada pangan,Peningkatan ekonomi masyarakat,1
Peningkatan ekonomi masyarakat,Ketersediaan lahan,1
Program swasembada pangan,Peningkatan PAD,1
budaya masyarakat,Program swasembada pangan,1
Program swasembada pangan,Program pemberdayaan masyarakat,1
Transmigrasi,Kebutuhan pangan meningkat,1
Transmigrasi,Harga pasar yang tinggi,1
Kesesuaian lahan untuk pertanian,Harga pasar yang tinggi,1
Kesesuaian lahan untuk pertanian,Pertumbuhan ekonomi,1
Kesesuaian lahan untuk pertanian,Program swasembada pangan,1
Peningkatan ekonomi masyarakat,Adanya investor,1
Adanya investor,Peningkatan ekonomi masyarakat,1
Kebutuhan lahan untuk pertanian,Pergesaran budaya,1
Kebutuhan lahan untuk pertanian,Program swasembada pangan,1
Program swasembada pangan,Kesesuaian lahan untuk pertanian,1
Kebutuhan lahan untuk pertanian,Transmigrasi,1
Kebutuhan lahan untuk pertanian,Pembangunan infrastruktur,1
Kurangnya penegakan hukum,Kesadaran masyarakat,1
Kurangnya penegakan hukum,Kebutuhan lahan untuk pertanian,1
Kesesuaian lahan untuk pertanian,Kebutuhan lahan untuk pertanian,1
Peningkatan ekonomi masyarakat,Kebutuhan lahan untuk pertanian,1
Program swasembada pangan,Kebutuhan lahan untuk pertanian,1
Pembangunan infrastruktur,Kebutuhan lahan untuk pertanian,1
Peningkatan PAD,Kebutuhan lahan untuk pertanian,1
Peningkatan PAD,Peningkatan ekonomi masyarakat,1
Peningkatan ekonomi masyarakat,Kebutuhan lahan untuk pertanian,1
Peningkatan PAD,Program swasembada pangan,1
Peningkatan PAD,Kebutuhan lahan untuk pemukiman,1
Program swasembada pangan,Pertumbuhan ekonomi,1
Program swasembada pangan,Kebutuhan lahan untuk pertanian,1
Program swasembada pangan,Kebutuhan pangan meningkat,1
Program swasembada pangan,Program swasembada pangan,1
Program swasembada pangan,Kebutuhan lahan untuk pertanian,1
Program swasembada pangan,Kebutuhan pangan meningkat,1
Program swasembada pangan,Kebutuhan pangan meningkat,1
Pembangunan infrastruktur,Pertumbuhan ekonomi,1
Pembangunan infrastruktur,Kebutuhan lahan untuk pertanian,1
Pembangunan infrastruktur,Program perumahan masyarakat,1
Pembangunan infrastruktur,Transmigrasi,1
Pertambahan penduduk,Pembangunan infrastruktur,1
Pertambahan penduduk,Kebutuhan pangan meningkat,1
Pertambahan penduduk,Peningkatan ekonomi masyarakat,1
Kebutuhan lahan untuk pertanian,Peningkatan ekonomi masyarakat,1
