source,target,width
Demand for land for housing,Demand for land for housing,1
Demand for land for housing,Demand for land for business area,1
Demand for land for housing,Infrastructure development,1
Demand for land for housing,Increase local revenue,1
Demand for land for housing,Influence from investor,1
Land suitability for settlement,Development acceleration,1
Infrastructure development,Increase local revenue,1
Land suitability for settlement,Development acceleration,1
Less poverty,Increase local revenue,1
Government program for housing,Demand for land for housing,1
Population growth,Demand for land for housing,1
Population growth,Demand for land for housing,1
Increase local revenue,Infrastructure development,1
Infrastructure development,Increase local revenue,1
Infrastructure development,Infrastructure development,1
Government program for housing,Infrastructure development,1
Increase local revenue,Infrastructure development,1
Infrastructure development,Government program for housing,1
Demand for land for housing,Transmigration,1
Demand for land for housing,Government program for housing,1
Population growth,Government program for housing,1
Population growth,Influence from investor,1
Population growth,Infrastructure development,1
Government program for housing,Transmigration,1
Government program for housing,Infrastructure development,1
Government program for housing,Influence from investor,1
Influence from investor,Infrastructure development,1
Influence from investor,Local economic growth,1
Influence from investor,Local economic growth,1
Transmigration,Infrastructure development,1
Transmigration,Local economic growth,1
Transmigration,Local economic growth,1
Infrastructure development,Local economic growth,1
Infrastructure development,Local economic growth,1
Infrastructure development,Land rehabilitation,1
Social status,Infrastructure development,1
Social status,Influence from investor,1
Local economic growth,Social status,1
Demand for land for housing,Transmigration,1
Demand for land for housing,Government program for housing,1
Population growth,Government program for housing,1
Population growth,Influence from investor,1
Population growth,Infrastructure development,1
Transmigration,Transmigration,1
Transmigration,Infrastructure development,1
Transmigration,Influence from investor,1
Influence from investor,Infrastructure development,1
Influence from investor,Local economic growth,1
Influence from investor,Local economic growth,1
Transmigration,Infrastructure development,1
Transmigration,Local economic growth,1
Transmigration,Local economic growth,1
Infrastructure development,Local economic growth,1
Infrastructure development,Local economic growth,1
Infrastructure development,Land rehabilitation,1
Social status,Infrastructure development,1
Social status,Influence from investor,1
Local economic growth,Social status,1
