source,target,width
Cultural changes,Less poverty,1
Cultural changes,Demand for land for tree-crop plantation,1
Cultural changes,People's awareness,1
Cultural changes,Demand for land for tree-crop plantation,1
Demand for jobs/employment,Less poverty,1
Demand for jobs/employment,Increase local revenue,1
Demand for jobs/employment,Increase local revenue,1
Demand for jobs/employment,Increase local revenue,1
Demand for jobs/employment,Less poverty,1
Demand for jobs/employment,Demand for land for tree-crop plantation,1
Demand for jobs/employment,Increase local revenue,1
Demand for land for housing,Land grabbing,1
Demand for land for tree-crop plantation,Expansion of commodity area,1
Demand for land for tree-crop plantation,Expansion of commodity area,1
Demand for land for tree-crop plantation,Expansion of commodity area,1
Demand for land for tree-crop plantation,Increase local revenue,1
Demand for land for tree-crop plantation,Less poverty,1
Demand for land for tree-crop plantation,Land rehabilitation,1
Demand for land for tree-crop plantation,Demand for land for tree-crop plantation,1
Demand for land for tree-crop plantation,Expansion of commodity area,1
Demand for land for tree-crop plantation,Less poverty,1
Demand for land for tree-crop plantation,Land suitability for tree crop,1
Demand for land for tree-crop plantation,Land grabbing,1
Demand for land for tree-crop plantation,Less poverty,1
Demand for land for tree-crop plantation,Demand for land for tree-crop plantation,1
Demand for land for tree-crop plantation,Land rehabilitation,1
Demand for land for tree-crop plantation,Land rehabilitation,1
Demand for land for tree-crop plantation,Demand for jobs/employment,1
Demand for land for tree-crop plantation,Population growth,1
Demand for land for tree-crop plantation,Land suitability for tree crop,1
Demand for land for tree-crop plantation,Expansion of commodity area,1
Demand for land for tree-crop plantation,Cultural changes,1
Demand for land for tree-crop plantation,Increase local revenue,1
Demand for land for tree-crop plantation,Increase local revenue,1
Demand for land for tree-crop plantation,Infrastructure development,1
Demand for land for tree-crop plantation,Land suitability for tree crop,1
Demand for NTFP,Less poverty,1
Demand for wood,Less poverty,1
Easy  access to market,Expansion of commodity area,1
Easy  access to market,Cultural changes,1
Easy  access to market,Less poverty,1
Easy  access to market,Demand for land for tree-crop plantation,1
Expansion of commodity area,Land rehabilitation,1
Expansion of commodity area,Less poverty,1
Expansion of commodity area,Demand for land for tree-crop plantation,1
Expansion of commodity area,Expansion of commodity area,1
Expansion of commodity area,Expansion of commodity area,1
Expansion of commodity area,Less poverty,1
Expansion of commodity area,Increase local revenue,1
Expansion of commodity area,Less poverty,1
Expansion of commodity area,Less poverty,1
Expansion of commodity area,Less poverty,1
Expansion of commodity area,Less poverty,1
Expansion of commodity area,Less poverty,1
Expansion of commodity area,Local economic growth,1
Expansion of commodity area,Land rehabilitation,1
Expansion of commodity area,Land rehabilitation,1
Expansion of commodity area,Land availibility,1
Expansion of commodity area,Expansion of commodity area,1
Expansion of commodity area,Land rehabilitation,1
Food self sufficiency program,Government program for community empowerment,1
Forest degradation,Wood extraction,1
Forest degradation,Transmigration,1
Government program for community empowerment,Increase local revenue,1
Government program for community empowerment,Less poverty,1
Government program for community empowerment,Less poverty,1
Government program for community empowerment,Demand for jobs/employment,1
High market price of tree crop commodity,Less poverty,1
Improvement of local livelihood,Increase local revenue,1
Increase local revenue,Land rehabilitation,1
Increase local revenue,Less poverty,1
Increase local revenue,Land rehabilitation,1
Increase local revenue,Demand for land for tree-crop plantation,1
Increase local revenue,Land rehabilitation,1
Increase local revenue,Demand for land for tree-crop plantation,1
Increase local revenue,Less poverty,1
Increase local revenue,People's awareness,1
Increase local revenue,Land rehabilitation,1
Increase local revenue,Infrastructure development,1
Increase local revenue,Less poverty,1
Increase local revenue,Less poverty,1
Increase local revenue,Less poverty,1
Increase local revenue,Less poverty,1
Increase local revenue,Less poverty,1
Increase local revenue,Increase local revenue,1
Increase local revenue,Land rehabilitation,1
Increase local revenue,Land rehabilitation,1
Increase local revenue,Land availibility,1
Increase local revenue,Land rehabilitation,1
Increase local revenue,Land rehabilitation,1
Increase local revenue,Demand for land for tree-crop plantation,1
Increase local revenue,Demand for land for tree-crop plantation,1
Increase local revenue,Infrastructure development,1
Increase local revenue,Less poverty,1
Increase local revenue,Demand for jobs/employment,1
Increase local revenue,Increase local revenue,1
Increase local revenue,Less poverty,1
Influence from investor,Increase local revenue,1
Influence from investor,Increase local revenue,1
Influence from investor,Increase local revenue,1
Influence from investor,Increase local revenue,1
Influence from investor,Increase local revenue,1
Influence from investor,Increase local revenue,1
Influence from investor,Land rehabilitation,1
Influence from investor,Privatization,1
Influence from investor,Land suitability for tree crop,1
Influence from investor,Increase local revenue,1
Influence from investor,Increase local revenue,1
Influence from investor,Less poverty,1
Influence from investor,Less poverty,1
Influence from investor,Less poverty,1
Influence from investor,Less poverty,1
Influence from investor,Less poverty,1
Influence from investor,Local economic growth,1
Influence from investor,Land rehabilitation,1
Influence from investor,Land rehabilitation,1
Influence from investor,Land availibility,1
Influence from investor,Land rehabilitation,1
Influence from investor,Land rehabilitation,1
Information and technology,Local customs,1
Information and technology,Expansion of commodity area,1
Information and technology,Less poverty,1
Information and technology,Expansion of commodity area,1
Infrastructure development,Market demand for tree crop commodity,1
Infrastructure development,Government program for community empowerment,1
Infrastructure development,Less poverty,1
Infrastructure development,Demand for jobs/employment,1
Infrastructure development,Less poverty,1
Infrastructure development,Demand for land for tree-crop plantation,1
Infrastructure development,Less poverty,1
Lack of law enforcement,Land grabbing,1
Lack of law enforcement,Demand for land for tree-crop plantation,1
Land availibility,Land suitability for tree crop,1
Land availibility,Demand for land for housing,1
Land grabbing,Demand for wood,1
Land grabbing,Demand for land for tree-crop plantation,1
Land rehabilitation,Increase local revenue,1
Land rehabilitation,Land suitability for tree crop,1
Land rehabilitation,Land suitability for tree crop,1
Land rehabilitation,Land suitability for tree crop,1
Land rehabilitation,Increase local revenue,1
Land rehabilitation,Increase local revenue,1
Land rehabilitation,Increase local revenue,1
Land rehabilitation,Increase local revenue,1
Land rehabilitation,Land suitability for tree crop,1
Land rehabilitation,Land suitability for tree crop,1
Land rehabilitation,Expansion of commodity area,1
Land rehabilitation,Less poverty,1
Land rehabilitation,Less poverty,1
Land rehabilitation,Land rehabilitation,1
Land rehabilitation,Less poverty,1
Land rehabilitation,Demand for land for tree-crop plantation,1
Land rehabilitation,Less poverty,1
Land rehabilitation,Demand for jobs/employment,1
Land rehabilitation,Less poverty,1
Land rehabilitation,Land rehabilitation,1
Land rehabilitation,Less poverty,1
Land rehabilitation,Expansion of commodity area,1
Land rehabilitation,Expansion of commodity area,1
Land rehabilitation,Demand for land for tree-crop plantation,1
Land suitability for tree crop,Increase local revenue,1
Land suitability for tree crop,Less poverty,1
Land suitability for tree crop,Increase local revenue,1
Land suitability for tree crop,Demand for land for tree-crop plantation,1
Land suitability for tree crop,Less poverty,1
Land suitability for tree crop,Less poverty,1
Land suitability for tree crop,Local customs,1
Land suitability for tree crop,Expansion of commodity area,1
Land suitability for tree crop,Land rehabilitation,1
Land suitability for tree crop,Land rehabilitation,1
Land suitability for tree crop,Land rehabilitation,1
Land suitability for tree crop,Land rehabilitation,1
Less poverty,Cultural changes,1
Less poverty,Demand for jobs/employment,1
Less poverty,Land grabbing,1
Less poverty,Increase local revenue,1
Less poverty,Demand for jobs/employment,1
Less poverty,Demand for jobs/employment,1
Less poverty,Increase local revenue,1
Local customs,Land suitability for agroforest,1
Local customs,Expansion of commodity area,1
People's awareness,Land grabbing,1
People's awareness,Land grabbing,1
People's awareness,Cultural changes,1
People's awareness,Less poverty,1
Population growth,Demand for jobs/employment,1
Population growth,Demand for land for tree-crop plantation,1
Population growth,Demand for land for tree-crop plantation,1
Population growth,Infrastructure development,1
Population growth,Demand for jobs/employment,1
Transmigration,Wood extraction,1
Wood extraction,Expansion of commodity area,1
Wood extraction,Demand for land for tree-crop plantation,1
