"ID.grid","Habitat Area (Ha)","X.cor","Y.cor","TECI(%)","Cumulative Habitat(%)"
165,0.1,438532.58,9785200.93,0,0.1
354,0.05,488532.58,9745200.93,0,0.15
405,0.03,538532.58,9735200.93,0,0.18
406,0.04,548532.58,9735200.93,0,0.21
211,0.08,438532.58,9775200.93,0.56,0.29
444,0.03,468532.58,9725200.93,3.06,0.32
546,0.01,568532.58,9705200.93,3.86,0.33
398,0.04,468532.58,9735200.93,4.17,0.37
402,0.06,508532.58,9735200.93,7.16,0.43
213,0.1,458532.58,9775200.93,8.33,0.53
400,0.03,488532.58,9735200.93,9.77,0.56
212,0.08,448532.58,9775200.93,10.55,0.64
119,0.09,438532.58,9795200.93,24.83,0.73
259,0.06,458532.58,9765200.93,33.53,0.79
116,0,408532.58,9795200.93,34.05,0.79
392,0,408532.58,9735200.93,34.58,0.8
583,0,478532.58,9695200.93,35.1,0.8
626,0,448532.58,9685200.93,35.62,0.8
677,0,498532.58,9675200.93,36.15,0.8
678,0,508532.58,9675200.93,36.67,0.8
722,0,488532.58,9665200.93,37.19,0.8
772,0,528532.58,9655200.93,37.72,0.8
824,0,588532.58,9645200.93,38.24,0.8
958,0,548532.58,9615200.93,38.76,0.8
997,0,478532.58,9605200.93,39.29,0.8
1006,0,568532.58,9605200.93,39.81,0.8
1043,0,478532.58,9595200.93,40.33,0.8
1044,0,488532.58,9595200.93,40.86,0.8
1047,0,518532.58,9595200.93,41.38,0.8
1049,0,538532.58,9595200.93,41.9,0.8
438,0,408532.58,9725200.93,42.43,0.8
582,0,468532.58,9695200.93,42.95,0.8
587,0,518532.58,9695200.93,43.47,0.8
629,0,478532.58,9685200.93,44,0.8
673,0,458532.58,9675200.93,44.52,0.8
719,0,458532.58,9665200.93,45.04,0.8
721,0,478532.58,9665200.93,45.57,0.8
912,0,548532.58,9625200.93,46.09,0.8
957,0,538532.58,9615200.93,46.61,0.8
1003,0,538532.58,9605200.93,47.14,0.8
1095,0,538532.58,9585200.93,47.66,0.8
449,0,518532.58,9725200.93,48.18,0.8
674,0,468532.58,9675200.93,48.71,0.8
1009,0,598532.58,9605200.93,49.23,0.8
1048,0,528532.58,9595200.93,49.75,0.8
71,0,418532.58,9805200.93,50.28,0.8
495,0,518532.58,9715200.93,50.8,0.8
634,0,528532.58,9685200.93,51.32,0.8
496,0,528532.58,9715200.93,51.85,0.8
680,0,528532.58,9675200.93,52.37,0.8
767,0,478532.58,9655200.93,52.89,0.8
584,0,488532.58,9695200.93,53.42,0.8
1140,0,528532.58,9575200.93,53.94,0.8
588,0,528532.58,9695200.93,54.46,0.8
675,0,478532.58,9675200.93,54.99,0.8
734,0,608532.58,9665200.93,55.51,0.8
869,0,578532.58,9635200.93,56.03,0.8
209,0,418532.58,9775200.93,56.56,0.8
446,0,488532.58,9725200.93,57.08,0.8
724,0,508532.58,9665200.93,57.6,0.8
1008,0,588532.58,9605200.93,58.13,0.8
689,0,618532.58,9675200.93,58.65,0.8
771,0,518532.58,9655200.93,59.18,0.8
770,0,508532.58,9655200.93,59.7,0.8
117,0,418532.58,9795200.93,60.22,0.8
445,0,478532.58,9725200.93,60.75,0.8
447,0,498532.58,9725200.93,61.27,0.8
216,0,488532.58,9775200.93,61.79,0.8
687,0,598532.58,9675200.93,62.32,0.8
489,0,458532.58,9715200.93,62.84,0.8
26,0,428532.58,9815200.93,63.36,0.8
452,0,548532.58,9725200.93,63.89,0.8
918,0,608532.58,9625200.93,64.41,0.8
168,0,468532.58,9785200.93,64.93,0.8
1094,0,528532.58,9585200.93,65.46,0.8
963,0,598532.58,9615200.93,65.98,0.8
27,0,438532.58,9815200.93,66.5,0.8
443,0,458532.58,9725200.93,67.03,0.8
215,0,478532.58,9775200.93,67.55,0.81
873,0,618532.58,9635200.93,68.07,0.81
916,0,588532.58,9625200.93,68.6,0.81
686,0,588532.58,9675200.93,69.12,0.81
121,0,458532.58,9795200.93,69.64,0.81
781,0,618532.58,9655200.93,70.17,0.81
163,0,418532.58,9785200.93,70.69,0.82
261,0,478532.58,9765200.93,71.21,0.82
960,0,568532.58,9615200.93,71.74,0.82
640,0,588532.58,9685200.93,72.26,0.82
628,0,468532.58,9685200.93,72.78,0.82
28,0,448532.58,9815200.93,73.31,0.83
351,0,458532.58,9745200.93,73.83,0.83
735,0,618532.58,9665200.93,74.35,0.83
962,0,588532.58,9615200.93,74.88,0.83
688,0,608532.58,9675200.93,75.4,0.84
306,0,468532.58,9755200.93,75.92,0.84
827,0,618532.58,9645200.93,76.45,0.84
872,0,608532.58,9635200.93,76.97,0.85
453,0,558532.58,9725200.93,77.49,0.85
442,0,448532.58,9725200.93,78.02,0.86
396,0,448532.58,9735200.93,78.54,0.86
303,0,438532.58,9755200.93,79.06,0.86
448,0,508532.58,9725200.93,79.59,0.87
72,0,428532.58,9805200.93,80.11,0.87
547,0,578532.58,9705200.93,80.63,0.88
262,0.01,488532.58,9765200.93,81.16,0.88
358,0.01,528532.58,9745200.93,81.68,0.89
357,0.01,518532.58,9745200.93,82.2,0.9
870,0.01,588532.58,9635200.93,82.73,0.9
548,0.01,588532.58,9705200.93,83.25,0.91
257,0.01,438532.58,9765200.93,83.77,0.92
304,0.01,448532.58,9755200.93,84.3,0.93
210,0.01,428532.58,9775200.93,84.82,0.94
594,0.01,588532.58,9695200.93,85.34,0.95
399,0.01,478532.58,9735200.93,85.87,0.96
917,0.01,598532.58,9625200.93,86.39,0.97
490,0.01,468532.58,9715200.93,86.92,0.99
403,0.01,518532.58,9735200.93,87.44,1
500,0.01,568532.58,9715200.93,87.96,1.01
401,0.01,498532.58,9735200.93,88.49,1.03
871,0.02,598532.58,9635200.93,89.01,1.04
355,0.02,498532.58,9745200.93,89.53,1.06
308,0.02,488532.58,9755200.93,90.06,1.08
404,0.02,528532.58,9735200.93,90.58,1.11
408,0.02,568532.58,9735200.93,91.1,1.13
120,0.02,448532.58,9795200.93,91.63,1.16
353,0.03,478532.58,9745200.93,92.15,1.18
118,0.03,428532.58,9795200.93,92.67,1.21
352,0.04,468532.58,9745200.93,93.2,1.25
454,0.04,568532.58,9725200.93,93.72,1.28
74,0.04,448532.58,9805200.93,94.24,1.32
258,0.05,448532.58,9765200.93,94.77,1.36
260,0.05,468532.58,9765200.93,95.29,1.41
407,0.05,558532.58,9735200.93,95.81,1.46
397,0.05,458532.58,9735200.93,96.34,1.51
167,0.05,458532.58,9785200.93,96.86,1.56
214,0.05,468532.58,9775200.93,97.38,1.61
164,0.06,428532.58,9785200.93,97.91,1.67
307,0.06,478532.58,9755200.93,98.43,1.73
73,0.06,438532.58,9805200.93,98.95,1.79
166,0.09,448532.58,9785200.93,99.48,1.89
166,100,448532.58,9785200.93,100,1.89
