"ID.grid","Habitat Area (Ha)","X.cor","Y.cor","TECI(%)","Cumulative Habitat(%)"
71,0.11,418532.58,9805200.93,0,0.11
112,0.06,368532.58,9795200.93,0,0.17
113,0.11,378532.58,9795200.93,0,0.28
114,0.12,388532.58,9795200.93,0,0.39
116,0.11,408532.58,9795200.93,0,0.51
161,0.11,398532.58,9785200.93,0,0.62
443,0.1,458532.58,9725200.93,0,0.72
544,0.08,548532.58,9705200.93,0,0.8
587,0.1,518532.58,9695200.93,0,0.9
636,0.09,548532.58,9685200.93,0,0.99
638,0.12,568532.58,9685200.93,0,1.1
684,0.08,568532.58,9675200.93,0,1.18
725,0.11,518532.58,9665200.93,0,1.3
728,0.1,548532.58,9665200.93,0,1.4
729,0.1,558532.58,9665200.93,0,1.5
763,0.08,438532.58,9655200.93,0,1.58
772,0.07,528532.58,9655200.93,0,1.66
773,0.1,538532.58,9655200.93,0,1.76
774,0.1,548532.58,9655200.93,0,1.86
820,0.09,548532.58,9645200.93,0,1.95
821,0.1,558532.58,9645200.93,0,2.06
863,0.09,518532.58,9635200.93,0,2.15
910,0.11,528532.58,9625200.93,0,2.26
957,0.1,538532.58,9615200.93,0,2.36
999,0.09,498532.58,9605200.93,0,2.45
444,0.06,468532.58,9725200.93,1.63,2.51
730,0.09,568532.58,9665200.93,2.27,2.6
211,0.03,438532.58,9775200.93,2.34,2.63
259,0.02,458532.58,9765200.93,2.34,2.65
535,0.05,458532.58,9705200.93,3.24,2.7
909,0.11,518532.58,9625200.93,3.45,2.81
911,0.1,538532.58,9625200.93,3.61,2.91
546,0.02,568532.58,9705200.93,4.23,2.93
394,0.06,428532.58,9735200.93,4.25,2.99
583,0.05,478532.58,9695200.93,4.31,3.04
665,0.04,378532.58,9675200.93,4.48,3.08
543,0.08,538532.58,9705200.93,4.69,3.16
545,0.08,558532.58,9705200.93,4.91,3.24
915,0.02,578532.58,9625200.93,5.47,3.26
712,0.08,388532.58,9665200.93,5.95,3.33
627,0.03,458532.58,9685200.93,6.25,3.36
1094,0.05,528532.58,9585200.93,6.48,3.41
933,0,298532.58,9615200.93,7.03,3.41
592,0.08,568532.58,9695200.93,7.14,3.49
724,0.1,508532.58,9665200.93,7.5,3.59
208,0.1,408532.58,9775200.93,8.1,3.68
1048,0.02,528532.58,9595200.93,8.17,3.71
402,0.01,508532.58,9735200.93,8.22,3.72
534,0.03,448532.58,9705200.93,8.33,3.75
633,0.08,518532.58,9685200.93,8.88,3.83
301,0.03,418532.58,9755200.93,8.98,3.86
395,0.02,438532.58,9735200.93,9.38,3.88
400,0.01,488532.58,9735200.93,9.47,3.89
1046,0.06,508532.58,9595200.93,10.05,3.95
