"ID.grid","Habitat Area (Ha)","X.cor","Y.cor","TECI(%)","Cumulative Habitat(%)"
553,0.07,178532.58,9695200.93,0,0.07
554,0.11,188532.58,9695200.93,0,0.18
555,0.09,198532.58,9695200.93,0,0.27
600,0.12,188532.58,9685200.93,0,0.39
601,0.12,198532.58,9685200.93,0,0.5
602,0.11,208532.58,9685200.93,0,0.62
603,0.11,218532.58,9685200.93,0,0.73
604,0.07,228532.58,9685200.93,0,0.8
647,0.12,198532.58,9675200.93,0,0.91
648,0.12,208532.58,9675200.93,0,1.03
649,0.11,218532.58,9675200.93,0,1.14
650,0.07,228532.58,9675200.93,0,1.21
693,0.08,198532.58,9665200.93,0,1.29
694,0.09,208532.58,9665200.93,0,1.38
695,0.11,218532.58,9665200.93,0,1.49
696,0.11,228532.58,9665200.93,0,1.61
697,0.08,238532.58,9665200.93,0,1.69
742,0.12,228532.58,9655200.93,0,1.8
743,0.09,238532.58,9655200.93,0,1.9
788,0.12,228532.58,9645200.93,0,2.01
835,0.1,238532.58,9635200.93,0,2.12
1117,0.08,298532.58,9575200.93,0,2.19
1207,0.06,278532.58,9555200.93,0,2.26
1208,0.08,288532.58,9555200.93,0,2.33
1308,0.04,368532.58,9535200.93,0,2.38
1349,0.07,318532.58,9525200.93,0,2.45
1350,0.1,328532.58,9525200.93,0,2.54
1352,0.1,348532.58,9525200.93,0,2.65
1397,0.1,338532.58,9515200.93,0,2.75
1118,0.08,308532.58,9575200.93,0.43,2.83
1306,0.06,348532.58,9535200.93,3.71,2.89
1168,0.04,348532.58,9565200.93,3.78,2.93
1301,0.08,298532.58,9535200.93,5,3.01
1303,0.07,318532.58,9535200.93,5.1,3.07
1587,0.02,398532.58,9475200.93,7.9,3.1
1355,0.03,378532.58,9525200.93,8.61,3.13
1300,0.02,288532.58,9535200.93,12.28,3.14
1214,0.04,348532.58,9555200.93,20.14,3.18
1586,0.01,388532.58,9475200.93,25,3.19
1492,0.02,368532.58,9495200.93,35.2,3.21
1491,0.01,358532.58,9495200.93,37.5,3.22
1448,0.01,388532.58,9505200.93,40.91,3.23
940,0,368532.58,9615200.93,41.41,3.23
1166,0,328532.58,9565200.93,41.9,3.23
1536,0,348532.58,9485200.93,42.4,3.23
652,0,248532.58,9675200.93,42.9,3.23
1167,0,338532.58,9565200.93,43.39,3.23
1205,0,258532.58,9555200.93,43.89,3.23
513,0,238532.58,9705200.93,44.39,3.23
1065,0,238532.58,9585200.93,44.88,3.23
1069,0,278532.58,9585200.93,45.38,3.23
1347,0,298532.58,9525200.93,45.87,3.23
1114,0,268532.58,9575200.93,46.37,3.23
937,0,338532.58,9615200.93,46.87,3.23
1631,0,378532.58,9465200.93,47.36,3.23
1346,0,288532.58,9525200.93,47.86,3.23
1265,0,398532.58,9545200.93,48.36,3.23
1590,0,428532.58,9475200.93,48.85,3.23
1310,0,388532.58,9535200.93,49.35,3.23
1215,0,358532.58,9555200.93,49.85,3.23
1401,0,378532.58,9515200.93,50.34,3.23
1447,0,378532.58,9505200.93,50.84,3.23
1493,0,378532.58,9495200.93,51.34,3.23
1635,0,418532.58,9465200.93,51.83,3.23
1356,0,388532.58,9525200.93,52.33,3.23
881,0,238532.58,9625200.93,52.83,3.24
1261,0,358532.58,9545200.93,53.32,3.24
1632,0,388532.58,9465200.93,53.82,3.24
1024,0,288532.58,9595200.93,54.32,3.24
1158,0,248532.58,9565200.93,54.81,3.24
1169,0,358532.58,9565200.93,55.31,3.24
1112,0,248532.58,9575200.93,55.81,3.24
1264,0,388532.58,9545200.93,56.3,3.25
1111,0,238532.58,9575200.93,56.8,3.25
1159,0,258532.58,9565200.93,57.3,3.25
1445,0,358532.58,9505200.93,57.79,3.25
983,0,338532.58,9605200.93,58.29,3.25
833,0,218532.58,9635200.93,58.79,3.25
1354,0,368532.58,9525200.93,59.28,3.26
1254,0,288532.58,9545200.93,59.78,3.26
1299,0,278532.58,9535200.93,60.28,3.26
1162,0,288532.58,9565200.93,60.77,3.26
1255,0,298532.58,9545200.93,61.27,3.27
511,0,218532.58,9705200.93,61.76,3.27
1120,0,328532.58,9575200.93,62.26,3.27
1163,0,298532.58,9565200.93,62.76,3.28
1584,0,368532.58,9475200.93,63.25,3.28
1213,0,338532.58,9555200.93,63.75,3.28
1071,0,298532.58,9585200.93,64.25,3.29
1636,0,428532.58,9465200.93,64.74,3.29
692,0,188532.58,9665200.93,65.24,3.29
1253,0,278532.58,9545200.93,65.74,3.3
1630,0,368532.58,9465200.93,66.23,3.3
1443,0,338532.58,9505200.93,66.73,3.31
1488,0.01,328532.58,9495200.93,67.23,3.31
651,0.01,238532.58,9675200.93,67.72,3.32
1541,0.01,398532.58,9485200.93,68.22,3.32
1538,0.01,368532.58,9485200.93,68.72,3.33
1537,0.01,358532.58,9485200.93,69.21,3.34
1588,0.01,408532.58,9475200.93,69.71,3.35
1540,0.01,388532.58,9485200.93,70.21,3.35
977,0.01,278532.58,9605200.93,70.7,3.36
1490,0.01,348532.58,9495200.93,71.2,3.37
1260,0.01,348532.58,9545200.93,71.7,3.38
1399,0.01,358532.58,9515200.93,72.19,3.38
1252,0.01,268532.58,9545200.93,72.69,3.39
1116,0.01,288532.58,9575200.93,73.19,3.4
1402,0.01,388532.58,9515200.93,73.68,3.41
1070,0.01,288532.58,9585200.93,74.18,3.42
1256,0.01,308532.58,9545200.93,74.68,3.43
512,0.01,228532.58,9705200.93,75.17,3.44
557,0.01,218532.58,9695200.93,75.67,3.45
1257,0.01,318532.58,9545200.93,76.17,3.46
1348,0.01,308532.58,9525200.93,76.66,3.47
1583,0.01,358532.58,9475200.93,77.16,3.48
1634,0.01,408532.58,9465200.93,77.65,3.49
1209,0.01,298532.58,9555200.93,78.15,3.51
1353,0.01,358532.58,9525200.93,78.65,3.52
1441,0.01,318532.58,9505200.93,79.14,3.53
1206,0.01,268532.58,9555200.93,79.64,3.55
1165,0.01,318532.58,9565200.93,80.14,3.56
508,0.01,188532.58,9705200.93,80.63,3.57
1395,0.01,318532.58,9515200.93,81.13,3.59
744,0.02,248532.58,9655200.93,81.63,3.6
1305,0.02,338532.58,9535200.93,82.12,3.62
1539,0.02,378532.58,9485200.93,82.62,3.64
1164,0.02,308532.58,9565200.93,83.12,3.65
1307,0.02,358532.58,9535200.93,83.61,3.67
1585,0.02,378532.58,9475200.93,84.11,3.68
1442,0.02,328532.58,9505200.93,84.61,3.7
1633,0.02,398532.58,9465200.93,85.1,3.72
510,0.02,208532.58,9705200.93,85.6,3.74
558,0.02,228532.58,9695200.93,86.1,3.75
1022,0.02,268532.58,9595200.93,86.59,3.77
975,0.02,258532.58,9605200.93,87.09,3.79
698,0.02,248532.58,9665200.93,87.59,3.81
1161,0.02,278532.58,9565200.93,88.08,3.83
1160,0.02,268532.58,9565200.93,88.58,3.85
790,0.02,248532.58,9645200.93,89.08,3.87
836,0.02,248532.58,9635200.93,89.57,3.89
787,0.02,218532.58,9645200.93,90.07,3.91
1444,0.02,348532.58,9505200.93,90.57,3.94
1258,0.02,328532.58,9545200.93,91.06,3.96
976,0.03,268532.58,9605200.93,91.56,3.99
556,0.03,208532.58,9695200.93,92.06,4.02
1489,0.03,338532.58,9495200.93,92.55,4.05
741,0.04,218532.58,9655200.93,93.05,4.09
599,0.04,178532.58,9685200.93,93.54,4.13
1119,0.05,318532.58,9575200.93,94.04,4.18
646,0.05,188532.58,9675200.93,94.54,4.23
1309,0.05,378532.58,9535200.93,95.03,4.28
509,0.05,198532.58,9705200.93,95.53,4.33
1259,0.05,338532.58,9545200.93,96.03,4.38
1351,0.05,338532.58,9525200.93,96.52,4.43
1304,0.06,328532.58,9535200.93,97.02,4.49
1398,0.06,348532.58,9515200.93,97.52,4.56
834,0.06,228532.58,9635200.93,98.01,4.62
1396,0.06,328532.58,9515200.93,98.51,4.69
789,0.08,238532.58,9645200.93,99.01,4.77
1302,0.08,308532.58,9535200.93,99.5,4.85
1302,100,308532.58,9535200.93,100,4.85
